500 10000
234 269 287 
77 90 572 
17 402 534 
478 250 749 
446 278 625 
80 422 212 
66 358 91 
2 138 414 
355 14 938 
91 120 317 
327 444 150 
193 341 388 
74 250 587 
296 423 956 
75 279 984 
71 205 565 
245 127 464 
64 481 199 
315 160 126 
311 326 803 
239 124 389 
15 102 902 
72 214 948 
66 206 886 
82 47 71 
127 183 135 
228 392 349 
405 227 932 
108 326 680 
126 455 861 
253 236 600 
378 409 462 
317 476 439 
345 413 702 
478 494 852 
269 145 514 
208 52 577 
221 439 730 
358 435 801 
371 354 19 
263 444 463 
357 33 489 
342 334 199 
433 459 890 
70 272 450 
108 495 446 
258 158 882 
234 220 807 
106 183 1000 
316 77 616 
1 1 774 
160 364 418 
341 342 205 
355 419 829 
41 48 764 
107 315 213 
195 41 953 
195 474 269 
143 347 777 
212 392 282 
6 97 192 
123 492 820 
200 69 601 
415 89 157 
129 494 233 
110 51 635 
398 349 696 
335 377 634 
300 29 227 
350 160 117 
264 382 554 
165 294 703 
81 72 485 
407 431 557 
159 370 135 
156 265 588 
216 260 259 
197 186 447 
194 238 279 
185 40 254 
339 336 514 
361 365 945 
471 231 321 
259 231 662 
303 201 987 
336 76 344 
262 271 830 
138 8 643 
459 274 266 
124 486 844 
228 348 817 
81 12 707 
219 354 583 
496 376 696 
377 140 171 
248 3 79 
452 82 783 
219 374 6 
260 293 66 
195 273 216 
314 193 659 
270 355 280 
186 408 686 
5 156 103 
388 261 220 
36 28 160 
149 362 50 
229 239 520 
76 224 286 
348 417 578 
166 341 57 
272 494 1 
15 429 377 
289 245 739 
269 340 35 
487 62 188 
308 176 608 
277 63 954 
420 179 975 
126 130 424 
449 407 244 
348 381 452 
333 132 116 
57 105 547 
88 4 599 
42 216 688 
419 188 123 
15 487 80 
385 248 934 
180 126 769 
375 250 672 
379 341 36 
111 116 563 
309 327 371 
117 113 653 
373 83 159 
331 24 125 
243 475 621 
9 458 594 
249 361 53 
260 221 772 
222 33 978 
165 234 446 
103 372 171 
470 187 965 
36 128 123 
81 264 518 
421 53 368 
164 212 714 
436 289 759 
350 419 389 
303 468 362 
228 270 402 
42 121 422 
145 237 105 
402 109 527 
432 335 243 
132 356 383 
230 41 233 
246 398 3 
333 134 425 
482 94 134 
474 398 171 
32 304 347 
255 147 826 
364 418 329 
